"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","azimuthTime","azimuthAnxTime","samplesPerBurst","subswath"
"S1A_EW_SLC__1SDH_20231128T052717_20231128T052743_051413_063458_6B03","Sentinel-1A","C-SAR","EW","Extended Wide. 400 km swath and 25 m x 100 m spatial resolution (3-looks)","51413","66","337","2023-11-28T05:27:43.516851Z","2023-11-28T05:27:17.646Z","SLC","2023-11-28T05:27:17.646Z","2023-11-28T05:27:43.516Z","76.0703","25.6622","76.051697","34.022663","77.335655","18.841211","74.641663","31.258068","75.81752","17.425688","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_EW_SLC__1SDH_20231128T052717_20231128T052743_051413_063458_6B03.zip","2663.5050573349","","","0","S1A_EWDH_0337_0342_051413_066","","","","","","","","","","",""
"S1A_EW_SLC__1SDH_20231128T052618_20231128T052720_051413_063458_C119","Sentinel-1A","C-SAR","EW","Extended Wide. 400 km swath and 25 m x 100 m spatial resolution (3-looks)","51413","66","325","2023-11-28T05:27:20.472726Z","2023-11-28T05:26:18.077Z","SLC","2023-11-28T05:26:18.077Z","2023-11-28T05:27:20.472Z","78.4004","29.748","79.146629","42.863369","80.797714","23.603119","75.899162","33.695839","77.170113","18.673418","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_EW_SLC__1SDH_20231128T052618_20231128T052720_051413_063458_C119.zip","6841.358318328857","","","0","S1A_EWDH_0325_0338_051413_066","","","","","","","","","","",""
"S1A_IW_SLC__1SSH_20231128T043711_20231128T043739_051412_063454_36D7","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","921","2023-11-28T04:37:39.474581Z","2023-11-28T04:37:11.556Z","SLC","2023-11-28T04:37:11.556Z","2023-11-28T04:37:39.474Z","-73.5243","-110.1744","-74.935829","-110.449791","-73.16256","-105.41497","-73.775375","-115.104218","-72.112144","-109.95002","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSH_20231128T043711_20231128T043739_051412_063454_36D7.zip","3575.167989730835","","","0","S1A_IWSH_0920_0926_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SSH_20231128T043645_20231128T043713_051412_063454_688C","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","915","2023-11-28T04:37:13.689683Z","2023-11-28T04:36:45.767Z","SLC","2023-11-28T04:36:45.767Z","2023-11-28T04:37:13.689Z","-74.4997","-105.658","-75.913078","-105.522285","-74.034996","-100.739914","-74.850731","-110.829735","-73.085999","-105.780571","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSH_20231128T043645_20231128T043713_051412_063454_688C.zip","3580.077003479004","","","0","S1A_IWSH_0915_0921_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SSH_20231128T043620_20231128T043647_051412_063454_23D0","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","910","2023-11-28T04:36:47.900673Z","2023-11-28T04:36:20.952Z","SLC","2023-11-28T04:36:20.952Z","2023-11-28T04:36:47.900Z","-75.351","-100.6733","-76.73912","-100.12928","-74.764839","-95.771629","-75.827774","-105.929535","-73.961723","-101.13385","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSH_20231128T043620_20231128T043647_051412_063454_23D0.zip","3443.172830581665","","","0","S1A_IWSH_0910_0916_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SSH_20231128T043556_20231128T043623_051412_063454_27B4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","906","2023-11-28T04:36:23.083942Z","2023-11-28T04:35:56.123Z","SLC","2023-11-28T04:35:56.123Z","2023-11-28T04:36:23.083Z","-76.0782","-95.2571","-77.447441","-94.108475","-75.380783","-90.363152","-76.669655","-100.609398","-74.704712","-96.212532","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSH_20231128T043556_20231128T043623_051412_063454_27B4.zip","3443.1252584457397","","","0","S1A_IWSH_0905_0911_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SSH_20231128T043531_20231128T043558_051412_063454_F353","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","901","2023-11-28T04:35:58.261044Z","2023-11-28T04:35:31.300Z","SLC","2023-11-28T04:35:31.300Z","2023-11-28T04:35:58.261Z","-76.673","-89.312","-78.005913","-87.46032","-75.861229","-84.544121","-77.386116","-94.639526","-75.329384","-90.840363","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSH_20231128T043531_20231128T043558_051412_063454_F353.zip","3443.1274099349976","","","0","S1A_IWSH_0900_0906_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SSH_20231128T043506_20231128T043533_051412_063454_2BDA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","896","2023-11-28T04:35:33.431980Z","2023-11-28T04:35:06.473Z","SLC","2023-11-28T04:35:06.473Z","2023-11-28T04:35:33.431Z","-77.1317","-82.9088","-78.411942","-80.292984","-76.203072","-78.395195","-77.972778","-88.068054","-75.830528","-85.064133","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSH_20231128T043506_20231128T043533_051412_063454_2BDA.zip","3443.073434829712","","","0","S1A_IWSH_0895_0901_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SSH_20231128T043440_20231128T043508_051412_063454_DC4D","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","890","2023-11-28T04:35:08.609082Z","2023-11-28T04:34:40.698Z","SLC","2023-11-28T04:34:40.698Z","2023-11-28T04:35:08.609Z","-77.4283","-75.9966","-78.63456","-72.442177","-76.388626","-71.76693","-78.39122","-80.935349","-76.183868","-78.93821","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSH_20231128T043440_20231128T043508_051412_063454_DC4D.zip","3557.4994106292725","","","0","S1A_IWSH_0890_0896_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SSH_20231128T043413_20231128T043442_051412_063454_7595","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","885","2023-11-28T04:34:42.941350Z","2023-11-28T04:34:13.119Z","SLC","2023-11-28T04:34:13.119Z","2023-11-28T04:34:42.941Z","-77.5388","-68.4839","-78.632736","-63.874722","-76.38694","-64.577438","-78.624512","-73.136108","-76.380074","-72.349907","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSH_20231128T043413_20231128T043442_051412_063454_7595.zip","3825.87917137146","","","0","S1A_IWSH_0885_0891_051412_065","","","","","","","","","","",""
"S1A_WV_SLC__1SSV_20231128T041913_20231128T042847_051412_063453_0534","Sentinel-1A","C-SAR","WV","Wave Mode. Low data rate and 5 m x 20 m spatial resolution. Sampled images of 20 km x 20 km at 100 km intervals along the orbit. The Wave mode at VV polarization is the default mode for acquiring data over open ocean.","51412","65","705","2023-11-28T04:28:47.460386Z","2023-11-28T04:19:13.305Z","SLC","2023-11-28T04:19:13.305Z","2023-11-28T04:28:47.460Z","-33.8611","17.0316","-33.796459","17.170441","-33.747478","16.946857","-33.97459","17.116579","-33.925503","16.892416","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_WV_SLC__1SSV_20231128T041913_20231128T042847_051412_063453_0534.zip","3783.5005445480347","","","0","S1A_WVSV_0705_0820_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T041135_20231128T041202_051412_063452_89EA","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","613","2023-11-28T04:12:02.107791Z","2023-11-28T04:11:35.157Z","SLC","2023-11-28T04:11:35.157Z","2023-11-28T04:12:02.107Z","-6.6123","21.965","-6.04672","23.261648","-5.549353","21.027151","-7.675155","22.906805","-7.171831","20.66398","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T041135_20231128T041202_051412_063452_89EA.zip","7218.109394073486","","","0","S1A_IWDV_0613_0618_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T041109_20231128T041137_051412_063452_4F02","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","608","2023-11-28T04:11:37.282837Z","2023-11-28T04:11:09.374Z","SLC","2023-11-28T04:11:09.374Z","2023-11-28T04:11:37.282Z","-5.0859","22.3017","-4.488826","23.599634","-3.996791","21.370426","-6.175607","23.235798","-5.677594","20.999861","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T041109_20231128T041137_051412_063452_4F02.zip","7503.852610588074","","","0","S1A_IWDV_0608_0613_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T041044_20231128T041111_051412_063452_F1E4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","603","2023-11-28T04:11:11.491772Z","2023-11-28T04:10:44.549Z","SLC","2023-11-28T04:10:44.549Z","2023-11-28T04:11:11.491Z","-3.5586","22.6332","-2.988112","23.92063","-2.501192","21.695511","-4.616886","23.572515","-4.124371","21.342718","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T041044_20231128T041111_051412_063452_F1E4.zip","7218.226893424988","","","0","S1A_IWDV_0603_0609_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T041019_20231128T041046_051412_063452_782F","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","598","2023-11-28T04:10:46.666819Z","2023-11-28T04:10:19.726Z","SLC","2023-11-28T04:10:19.726Z","2023-11-28T04:10:46.666Z","-2.06","22.9548","-1.487242","24.239141","-1.005281","22.016462","-3.116208","23.893782","-2.628818","21.668198","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T041019_20231128T041046_051412_063452_782F.zip","7218.166210174561","","","0","S1A_IWDV_0598_0603_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T040954_20231128T041021_051412_063452_8602","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","593","2023-11-28T04:10:21.843920Z","2023-11-28T04:09:54.901Z","SLC","2023-11-28T04:09:54.901Z","2023-11-28T04:10:21.843Z","-0.5612","23.2735","0.013918","24.55582","0.491094","22.333807","-1.615434","24.212839","-1.132985","21.989685","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T040954_20231128T041021_051412_063452_8602.zip","7218.088565826416","","","0","S1A_IWDV_0593_0599_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T040930_20231128T040957_051412_063452_4E85","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","588","2023-11-28T04:09:57.018967Z","2023-11-28T04:09:30.078Z","SLC","2023-11-28T04:09:30.078Z","2023-11-28T04:09:57.018Z","0.9381","23.5888","1.515289","24.869873","1.987754","22.647188","-0.114143","24.529007","0.363446","22.30695","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T040930_20231128T040957_051412_063452_4E85.zip","7217.916669845581","","","0","S1A_IWDV_0588_0594_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T040904_20231128T040932_051412_063452_738C","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","583","2023-11-28T04:09:32.196070Z","2023-11-28T04:09:04.314Z","SLC","2023-11-28T04:09:04.314Z","2023-11-28T04:09:32.196Z","2.466","23.9069","3.073871","25.193521","3.541533","22.968664","1.387341","24.842619","1.860154","22.620283","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T040904_20231128T040932_051412_063452_738C.zip","7457.108404159546","","","0","S1A_IWDV_0583_0588_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T040836_20231128T040906_051412_063452_D511","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","578","2023-11-28T04:09:06.548894Z","2023-11-28T04:08:36.726Z","SLC","2023-11-28T04:08:36.726Z","2023-11-28T04:09:06.548Z","4.0742","24.2384","4.743015","25.537683","5.205613","23.308868","2.939001","25.164097","3.406945","22.9401","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T040836_20231128T040906_051412_063452_D511.zip","8019.561002731323","","","0","S1A_IWDV_0578_0584_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T040137_20231128T040204_051412_063451_92A5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","494","2023-11-28T04:02:04.517227Z","2023-11-28T04:01:37.424Z","SLC","2023-11-28T04:01:37.424Z","2023-11-28T04:02:04.517Z","29.474","29.3786","30.07902","30.853189","30.488356","28.240005","28.445656","30.490362","28.857594","27.920795","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T040137_20231128T040204_051412_063451_92A5.zip","7530.078932762146","","","0","S1A_IWDV_0494_0499_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T040112_20231128T040139_051412_063451_DDB6","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","489","2023-11-28T04:01:39.684052Z","2023-11-28T04:01:12.610Z","SLC","2023-11-28T04:01:12.610Z","2023-11-28T04:01:39.684Z","30.9692","29.6949","31.573946","31.193066","31.981308","28.535511","29.942394","30.825472","30.352169","28.214905","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T040112_20231128T040139_051412_063451_DDB6.zip","7530.68461227417","","","0","S1A_IWDV_0489_0495_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T040047_20231128T040114_051412_063451_5CB5","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","484","2023-11-28T04:01:14.871431Z","2023-11-28T04:00:47.783Z","SLC","2023-11-28T04:00:47.783Z","2023-11-28T04:01:14.871Z","32.464","30.0122","33.069393","31.535488","33.474735","28.831388","31.437712","31.162157","31.84527","28.508667","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T040047_20231128T040114_051412_063451_5CB5.zip","7529.418012619019","","","0","S1A_IWDV_0484_0490_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T040022_20231128T040050_051412_063451_3654","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","479","2023-11-28T04:00:50.044423Z","2023-11-28T04:00:22.097Z","SLC","2023-11-28T04:00:22.097Z","2023-11-28T04:00:50.044Z","33.9844","30.3388","34.615845","31.895729","35.019306","29.139763","32.933224","31.504076","33.338745","28.804358","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T040022_20231128T040050_051412_063451_3654.zip","7817.287668228149","","","0","S1A_IWDV_0479_0485_051412_065","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20231128T035957_20231128T040024_051412_063451_E04A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","51412","65","474","2023-11-28T04:00:24.249246Z","2023-11-28T03:59:57.259Z","SLC","2023-11-28T03:59:57.259Z","2023-11-28T04:00:24.249Z","35.5078","30.6707","36.110416","32.2505","36.512276","29.440529","34.486301","31.865295","34.889915","29.113827","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231128T035957_20231128T040024_051412_063451_E04A.zip","7529.421736717224","","","0","S1A_IWDV_0474_0480_051412_065","","","","","","","","","","",""
